Month-Year,Value
JAN-1992,117814
FEB-1992,117795
MAR-1992,117746
APR-1992,118223
MAY-1992,118385
JUN-1992,118410
JUL-1992,119092
AUG-1992,120123
SEP-1992,120264
OCT-1992,121349
NOV-1992,121717
DEC-1992,123358
JAN-1993,124089
FEB-1993,123425
MAR-1993,122864
APR-1993,124689
MAY-1993,125899
JUN-1993,125804
JUL-1993,126951
AUG-1993,126831
SEP-1993,128154
OCT-1993,128272
NOV-1993,128916
DEC-1993,129976
JAN-1994,128826
FEB-1994,130514
MAR-1994,133193
APR-1994,132700
MAY-1994,133058
JUN-1994,134530
JUL-1994,134944
AUG-1994,136246
SEP-1994,136802
OCT-1994,137821
NOV-1994,137650
DEC-1994,138876
JAN-1995,139434
FEB-1995,137534
MAR-1995,138645
APR-1995,138955
MAY-1995,140053
JUN-1995,140515
JUL-1995,140839
AUG-1995,141546
SEP-1995,142624
OCT-1995,141898
NOV-1995,143820
DEC-1995,144990
JAN-1996,142871
FEB-1996,144263
MAR-1996,145592
APR-1996,146893
MAY-1996,147611
JUN-1996,147918
JUL-1996,148253
AUG-1996,148820
SEP-1996,149984
OCT-1996,151250
NOV-1996,151651
DEC-1996,152397
JAN-1997,152533
FEB-1997,153837
MAR-1997,154959
APR-1997,154141
MAY-1997,154371
JUN-1997,155613
JUL-1997,157052
AUG-1997,157139
SEP-1997,158221
OCT-1997,158269
NOV-1997,158488
DEC-1997,158882
JAN-1998,159868
FEB-1998,160789
MAR-1998,161245
APR-1998,162724
MAY-1998,163136
JUN-1998,163774
JUL-1998,165004
AUG-1998,165531
SEP-1998,165542
OCT-1998,167307
NOV-1998,168460
DEC-1998,169658
JAN-1999,169939
FEB-1999,171951
MAR-1999,172497
APR-1999,173212
MAY-1999,174338
JUN-1999,174927
JUL-1999,175243
AUG-1999,176382
SEP-1999,177828
OCT-1999,178667
NOV-1999,179704
DEC-1999,183859
JAN-2000,181007
FEB-2000,182721
MAR-2000,185940
APR-2000,185327
MAY-2000,185371
JUN-2000,185899
JUL-2000,186520
AUG-2000,187033
SEP-2000,189371
OCT-2000,189307
NOV-2000,189478
DEC-2000,190143
JAN-2001,190977
FEB-2001,190970
MAR-2001,190127
APR-2001,192257
MAY-2001,191829
JUN-2001,191763
JUL-2001,192751
AUG-2001,194185
SEP-2001,190819
OCT-2001,194052
NOV-2001,195453
DEC-2001,196535
JAN-2002,196713
FEB-2002,197818
MAR-2002,197879
APR-2002,199726
MAY-2002,198959
JUN-2002,199285
JUL-2002,199003
AUG-2002,199264
SEP-2002,199072
OCT-2002,200364
NOV-2002,201544
DEC-2002,201689
JAN-2003,202502
FEB-2003,200747
MAR-2003,203729
APR-2003,203439
MAY-2003,204940
JUN-2003,207524
JUL-2003,209502
AUG-2003,211817
SEP-2003,211535
OCT-2003,212278
NOV-2003,213317
DEC-2003,213310
JAN-2004,215095
FEB-2004,215044
MAR-2004,219096
APR-2004,218034
MAY-2004,219132
JUN-2004,218917
JUL-2004,220566
AUG-2004,221060
SEP-2004,222679
OCT-2004,224226
NOV-2004,225080
DEC-2004,227441
JAN-2005,228238
FEB-2005,230238
MAR-2005,229936
APR-2005,232925
MAY-2005,232157
JUN-2005,234470
JUL-2005,233995
AUG-2005,236121
SEP-2005,237213
OCT-2005,240333
NOV-2005,240929
DEC-2005,240919
JAN-2006,246276
FEB-2006,246424
MAR-2006,246861
APR-2006,246879
MAY-2006,246464
JUN-2006,246282
JUL-2006,246079
AUG-2006,247808
SEP-2006,249447
OCT-2006,250103
NOV-2006,249880
DEC-2006,253397
JAN-2007,253973
FEB-2007,253233
MAR-2007,255687
APR-2007,253632
MAY-2007,255752
JUN-2007,256050
JUL-2007,257719
AUG-2007,257586
SEP-2007,257483
OCT-2007,258365
NOV-2007,260954
DEC-2007,259360
JAN-2008,258979
FEB-2008,257123
MAR-2008,257927
APR-2008,259587
MAY-2008,262549
JUN-2008,262747
JUL-2008,263828
AUG-2008,261654
SEP-2008,258403
OCT-2008,255767
NOV-2008,252590
DEC-2008,249969
JAN-2009,252321
FEB-2009,251528
MAR-2009,247822
APR-2009,249048
MAY-2009,249679
JUN-2009,249897
JUL-2009,249703
AUG-2009,249747
SEP-2009,250173
OCT-2009,250300
NOV-2009,250447
DEC-2009,251811
JAN-2010,251692
FEB-2010,253971
MAR-2010,256104
APR-2010,258362
MAY-2010,255851
JUN-2010,256586
JUL-2010,256247
AUG-2010,257701
SEP-2010,258773
OCT-2010,260073
NOV-2010,262406
DEC-2010,262564
JAN-2011,263792
FEB-2011,265403
MAR-2011,267145
APR-2011,268983
MAY-2011,268918
JUN-2011,271754
JUL-2011,271505
AUG-2011,272811
SEP-2011,273612
OCT-2011,275166
NOV-2011,275429
DEC-2011,274686
JAN-2012,278047
FEB-2012,280464
MAR-2012,281436
APR-2012,280075
MAY-2012,279768
JUN-2012,279440
JUL-2012,280774
AUG-2012,281838
SEP-2012,283047
OCT-2012,282641
NOV-2012,284704
DEC-2012,285984
JAN-2013,288407
FEB-2013,289140
MAR-2013,288398
APR-2013,287336
MAY-2013,288928
JUN-2013,288271
JUL-2013,290438
AUG-2013,290370
SEP-2013,291726
OCT-2013,292744
NOV-2013,293843
DEC-2013,294675
JAN-2014,292735
FEB-2014,295672
MAR-2014,297860
APR-2014,300593
MAY-2014,301468
JUN-2014,303431
JUL-2014,303739
AUG-2014,306190
SEP-2014,306550
OCT-2014,308696
NOV-2014,309777
DEC-2014,310563
JAN-2015,310929
FEB-2015,310253
MAR-2015,312396
APR-2015,313333
MAY-2015,314351
JUN-2015,314339
JUL-2015,317163
AUG-2015,317780
SEP-2015,317495
OCT-2015,317461
NOV-2015,318636
DEC-2015,321096
JAN-2016,319634
FEB-2016,323399
MAR-2016,322643
APR-2016,323181
MAY-2016,323686
JUN-2016,326728
JUL-2016,324963
AUG-2016,325990
SEP-2016,327149
OCT-2016,327479
NOV-2016,328059
DEC-2016,329038
JAN-2017,333700
FEB-2017,333938
MAR-2017,335427
APR-2017,336816
MAY-2017,335709
JUN-2017,337376
JUL-2017,337285
AUG-2017,339102
SEP-2017,342504
OCT-2017,342518
NOV-2017,347521
DEC-2017,349423
JAN-2018,347577
FEB-2018,350441
MAR-2018,350199
APR-2018,351316
MAY-2018,356111
JUN-2018,355016
JUL-2018,357382
AUG-2018,357231
SEP-2018,356441
OCT-2018,359660
NOV-2018,362626
DEC-2018,353734
JAN-2019,360973
FEB-2019,358955
MAR-2019,362361
APR-2019,363445
MAY-2019,366061
JUN-2019,368841
JUL-2019,371971
AUG-2019,372880
SEP-2019,372495
OCT-2019,373604
NOV-2019,374278
DEC-2019,376858
JAN-2020,379692
FEB-2020,380935
MAR-2020,366704
APR-2020,315773
MAY-2020,356539
JUN-2020,386277
JUL-2020,393671
AUG-2020,396885
SEP-2020,403675
OCT-2020,402484
NOV-2020,399673
DEC-2020,399082
JAN-2021,415290
FEB-2021,403048
MAR-2021,439343
APR-2021,443581
MAY-2021,439721
JUN-2021,448968
JUL-2021,443068
AUG-2021,449334
SEP-2021,450379
OCT-2021,456495
NOV-2021,460271
DEC-2021,456588
JAN-2022,461534
FEB-2022,464933
MAR-2022,472381
APR-2022,478548
MAY-2022,478988
JUN-2022,482188
JUL-2022,481596
AUG-2022,487096
SEP-2022,489000
OCT-2022,492671
NOV-2022,488240
DEC-2022,487832
JAN-2023,503651
FEB-2023,500695
MAR-2023,495044
APR-2023,498721
MAY-2023,502159
JUN-2023,503189
JUL-2023,506510
AUG-2023,507769
SEP-2023,510161
OCT-2023,511606
NOV-2023,511370
DEC-2023,514425
JAN-2024,511013
FEB-2024,513403
MAR-2024,516434
APR-2024,515914
MAY-2024,517324
JUN-2024,521259
JUL-2024,523859
AUG-2024,523935
SEP-2024,530276
OCT-2024,531231
NOV-2024,531473
DEC-2024,533843
